source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1000097/0001000097-23-000009.txt,1000097,"152 WEST 57TH STREET, 50TH FLOOR, NEW YORK, NY, 10019","KINGDON CAPITAL MANAGEMENT, L.L.C.",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,27595080000.0,108000
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,00175J,00175J107,AMMO INC,30000000.0,13805
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,00737L,00737L103,ADTALEM GLOBAL ED INC,209000000.0,6063
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,00760J,00760J108,AEHR TEST SYS,1874000000.0,45431
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,008073,008073108,AEROVIRONMENT INC,691000000.0,6764
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,01643A,01643A306,ALKALINE WTR CO INC,4000000.0,2389
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,018802,018802108,ALLIANT ENERGY CORP,27341000000.0,520975
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,023586,023586100,U HAUL HOLDING COMPANY,661000000.0,11967
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,02875D,02875D109,AMERICAN OUTDOOR BRANDS INC,31000000.0,3594
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,029683,029683109,AMER SOFTWARE INC,333000000.0,31651
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,030506,030506109,AMERICAN WOODMARK CORPORATIO,1143000000.0,14966
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,03062T,03062T105,AMERICAS CAR-MART INC,754000000.0,7551
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,032159,032159105,AMREP CORP,210000000.0,11718
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,03475V,03475V101,ANGIODYNAMICS INC,1548000000.0,148424
https://sec.gov/Archives/edgar/data/1000275/0001140361-23-039575.txt,1000275,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, A6, M5J2J5",Royal Bank of Canada,2023-06-30,03676C,03676C100,ANTERIX INC,53000000.0,1690
